epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.9056,2.10131,2.13323,2.11692,0.64127,0.57324,0.62084,0.29739,1.84226,1.57625,1.80159,0.000474473,0.000474473,0.000474473
2,110.668,1.5786,1.47633,1.69842,0.75029,0.58369,0.67482,0.39866,1.49687,1.29639,1.60369,0.000919429,0.000919429,0.000919429
3,163.691,1.48875,1.32611,1.60996,0.81495,0.66947,0.76212,0.42251,1.55532,1.18292,1.58226,0.00133295,0.00133295,0.00133295
